Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
152.6793147,65.05774,25.4701,22.41629513,1.123123884,188.0,1.600000024,7.5
153.6793147,65.057725,25.47010833,22.21630173,1.17099309,180.0099945,1.600000024,7.300000191
154.6793147,65.05771333,25.47012,22.11630743,1.183346391,177.5700073,1.600000024,7.099999905
155.6793147,65.05770167,25.47012667,21.91631258,1.22452414,183.5,1.600000024,7.400000095
156.6793147,65.05768833,25.47013167,21.81631819,1.22709775,175.9499969,1.600000024,7.5
157.6793147,65.05767333,25.47013333,21.71632406,1.262098908,172.3300018,1.600000024,7.400000095
158.6793147,65.05765833,25.470135,21.61632993,1.23945117,184.4400024,1.600000024,7.5
159.6793147,65.057645,25.47014167,21.51633572,1.181802273,143.6000061,1.600000024,7.900000095
160.6793147,65.05763667,25.47015167,21.41633997,1.150918841,141.5399933,1.600000024,8.0
161.6793147,65.05762167,25.470155,21.31634603,1.10871172,161.6199951,1.600000024,8.0
162.6793147,65.05760833,25.47015833,21.31635145,1.040768385,166.6600037,1.600000024,8.0
163.6793147,65.0576,25.47016333,21.41635516,0.9970169663,166.8800049,1.5,8.199999809
164.6793147,65.05758833,25.47015,21.41635813,0.967677772,186.3099976,1.600000024,8.5
165.6793147,65.05758,25.47014333,21.51636057,0.9373091459,191.0899963,1.600000024,8.5
166.6793147,65.05756333,25.470135,21.71636598,0.9851783514,191.6499939,1.700000048,8.5
167.6793147,65.05754333,25.47012667,21.81637266,0.9728249907,195.5200043,1.700000048,8.399999619
168.6793147,65.057525,25.47012,22.11637889,1.000620008,191.3200073,1.600000024,8.600000381
169.6793147,65.05751,25.47011167,22.31638368,1.039224148,189.0800018,1.600000024,8.399999619
170.6793147,65.057495,25.470105,22.41638864,1.08503449,194.5899963,1.5,8.5
171.6793147,65.05748167,25.47010167,22.51639334,1.131359458,187.5299988,1.5,8.399999619
172.6793147,65.05747,25.47009833,22.7163974,1.167904735,191.0599976,1.5,8.5
173.6793147,65.05746,25.4701,23.11640138,1.224009395,188.2899933,1.5,8.399999619
174.6793147,65.05744833,25.47010333,23.21640617,1.255407453,168.6699982,1.399999976,8.399999619
175.6793147,65.05743833,25.47010833,23.21641051,1.281143665,180.4199982,1.5,8.300000191
176.6793147,65.05742167,25.47012333,24.41641847,1.326953888,177.0,1.600000024,8.5
177.6793147,65.05740333,25.470135,25.31642669,1.393353105,182.3300018,1.700000048,8.699999809
178.6793147,65.05738167,25.47015,26.71643655,1.402103305,169.6499939,1.799999952,8.5
179.6793147,65.05736833,25.47016,27.8164427,1.425265789,175.8200073,1.799999952,8.600000381
180.6793147,65.05735333,25.47016333,29.11644875,1.464384675,186.2599945,1.700000048,8.699999809
181.6793147,65.05734,25.470165,30.01645399,1.437104464,177.0500031,1.600000024,8.600000381
182.6793147,65.05733,25.47017333,30.91645869,1.41136837,159.9900055,1.600000024,8.600000381
183.6793147,65.05732333,25.47018,31.01646195,1.355263591,138.8699951,1.600000024,8.5
184.6793147,65.05732,25.47019,31.0164643,1.302247167,139.3500061,1.600000024,8.300000191
185.6793147,65.05731333,25.47019667,30.91646755,1.235848069,159.1699982,1.600000024,8.399999619
186.6793147,65.05730333,25.470205,30.91647226,1.113858938,161.7200012,1.600000024,8.399999619
187.6793147,65.05729333,25.47021,30.81647659,1.019664764,175.2899933,1.700000048,8.600000381
188.6793147,65.05728,25.470215,30.9164822,0.9537802935,176.7100067,1.700000048,8.199999809
189.6793147,65.05727,25.47021667,30.61648617,0.8431149721,166.4199982,1.600000024,8.0
190.6793147,65.057255,25.47021833,30.61649204,0.7602447271,171.1399994,1.600000024,7.800000191
191.6793147,65.05724167,25.47022833,30.71649819,0.7329644561,166.7899933,1.600000024,7.699999809
192.6793147,65.05723167,25.47022667,30.5165018,0.7437736392,169.9400024,1.700000048,7.599999905
193.6793147,65.05721833,25.47022667,30.51650686,0.7834072113,171.8500061,1.600000024,7.699999809
194.6793147,65.05721,25.47022667,30.31651002,0.8240702748,170.0899963,1.600000024,7.5
195.6793147,65.0572,25.47022,30.11651309,0.8534094691,173.0700073,1.5,7.5
196.6793147,65.05718833,25.47021667,30.01651715,0.9120877981,174.9499969,1.5,7.5
197.6793147,65.057175,25.47022,29.71652257,0.9800311327,170.3300018,1.5,7.699999809
198.6793147,65.05716167,25.47021833,29.31652745,0.9862077832,183.7899933,1.5,8.0
199.6793147,65.05715167,25.47022,29.01653143,1.013488054,162.3200073,1.600000024,8.100000381
200.6793147,65.057145,25.47022167,28.61653414,1.014517546,184.25,1.600000024,7.900000095
201.6793147,65.05713667,25.470225,28.31653766,1.011429191,174.0099945,1.600000024,7.800000191
202.6793147,65.057125,25.47022833,27.91654245,1.018120527,170.6399994,1.5,7.400000095
203.6793147,65.057115,25.47023167,27.5165466,1.0140028,169.7599945,1.5,7.599999905
204.6793147,65.05710333,25.47023167,27.21655103,1.042827249,182.1499939,1.600000024,7.900000095
205.6793147,65.05709333,25.47023333,27.216555,1.05260694,177.7799988,1.700000048,7.800000191
206.6793147,65.05707833,25.47023333,27.21656069,1.036135793,180.8600006,1.700000048,7.699999809
207.6793147,65.05706,25.470235,26.81656783,1.012973309,180.8500061,1.700000048,7.699999809
208.6793147,65.05704667,25.47023167,26.51657253,1.039738894,188.5099945,1.799999952,8.0
209.6793147,65.057035,25.470235,26.01657731,1.048489213,156.3200073,1.799999952,8.300000191
210.6793147,65.05702667,25.47024,25.71658102,0.99907583,127.5800018,1.700000048,8.199999809
211.6793147,65.05701667,25.47024667,25.21658554,0.9537802935,158.1900024,1.700000048,8.199999809
212.6793147,65.05700667,25.47024833,24.81658951,0.9177497029,165.1199951,1.700000048,8.100000381
213.6793147,65.056995,25.47024833,24.71659394,0.8945872188,169.1499939,1.600000024,8.0
214.6793147,65.05698167,25.47024333,24.51659845,0.862159729,177.4199982,1.600000024,7.800000191
215.6793147,65.05696833,25.47023667,24.31660279,0.847232759,183.3899994,1.600000024,7.800000191
216.6793147,65.05695167,25.47023167,23.91660857,0.8405413628,178.7400055,1.600000024,7.699999809
217.6793147,65.05693667,25.47022833,23.4166139,0.8235555291,179.3200073,1.700000048,7.900000095
218.6793147,65.05692333,25.470225,22.91661859,0.8117169738,175.0200043,1.700000048,7.900000095
219.6793147,65.05691,25.470235,22.71662473,0.8194378018,169.3500061,1.700000048,7.699999809
220.6793147,65.05689833,25.47024333,22.51663006,0.8992197514,167.1199951,1.700000048,7.699999809
221.6793147,65.05688667,25.47025333,22.21663558,0.9640747309,162.9199982,1.700000048,7.599999905
222.6793147,65.05687333,25.47025667,22.21664099,0.9707661271,143.8899994,1.700000048,7.599999905
223.6793147,65.056865,25.47025667,21.91664416,0.9666483402,153.3699951,1.700000048,7.900000095
224.6793147,65.056855,25.47025,21.81664723,0.9594421983,166.1000061,1.700000048,7.699999809
225.6793147,65.05684167,25.470245,21.71665174,0.9527508616,171.2799988,1.700000048,7.900000095
226.6793147,65.05683167,25.47023833,21.41665481,0.9301030636,176.0899963,1.700000048,8.0
227.6793147,65.05682,25.470235,21.31665888,0.8868663907,176.8899994,1.700000048,7.699999809
228.6793147,65.05680333,25.47023833,21.01666556,0.8765719533,176.2599945,1.700000048,7.699999809
229.6793147,65.05678667,25.47024333,20.81667243,0.8734835982,171.4799957,1.700000048,8.0
230.6793147,65.056775,25.47025333,20.31667794,0.8822339177,171.5899963,1.600000024,7.800000191
231.6793147,65.05676,25.47025833,19.91668417,0.8920136094,178.6699982,1.600000024,7.699999809
232.6793147,65.05674667,25.47026333,19.51668977,0.9033374786,180.9600067,1.700000048,7.900000095
233.6793147,65.05673333,25.47026833,19.21669537,0.9177497029,179.4600067,1.600000024,8.0
234.6793147,65.05672,25.47027667,19.11670133,0.9738544226,165.4100037,1.600000024,7.599999905
235.6793147,65.05670167,25.47028333,18.916709,1.010399699,170.5899963,1.5,7.400000095
236.6793147,65.056685,25.470285,18.71671551,1.053636432,173.4700012,1.5,7.400000095
